dataset,features,ratio,args,mean_acc,std_acc
citeseer,cluster,0.8,1024.0,0.6555555555555557,0.01544593523401471
citeseer,cluster,0.9,0.0,0.733033033033033,0.02116117063136489
citeseer,cluster,0.9,2.0,0.3348348348348348,0.023271927802928513
citeseer,cluster,0.9,4.0,0.42312312312312306,0.019433345883032565
citeseer,cluster,0.9,8.0,0.47207207207207214,0.021552925385122507
citeseer,cluster,0.9,16.0,0.4897897897897899,0.022313567457714456
citeseer,cluster,0.9,32.0,0.527027027027027,0.02257251708464425
citeseer,cluster,0.9,64.0,0.5360360360360359,0.025094997270715687
citeseer,cluster,0.9,128.0,0.551051051051051,0.029363643931677858
citeseer,cluster,0.9,256.0,0.5867867867867869,0.027384284693912662
citeseer,cluster,0.9,512.0,0.6225225225225225,0.02247464603322867
citeseer,cluster,0.9,1024.0,0.6702702702702703,0.014968228742756235
citeseer,counts,0.1,0.0,0.31545909849749576,0.0168846891307624
citeseer,counts,0.1,1.0,0.46227045075125195,0.01728235965862307
citeseer,counts,0.1,2.0,0.5000667779632721,0.01759827753500925
citeseer,counts,0.2,0.0,0.40694966190833953,0.011076126072845917
citeseer,counts,0.2,1.0,0.5493238166791885,0.008285401004801988
citeseer,counts,0.2,2.0,0.5733658903080391,0.010835688507622263
citeseer,counts,0.30000000000000004,0.0,0.47870330613997425,0.023306155091617143
citeseer,counts,0.30000000000000004,1.0,0.6083726921425503,0.011210190704945985
citeseer,counts,0.30000000000000004,2.0,0.6228853585229712,0.009652154373637539
citeseer,counts,0.4,0.0,0.5405107661492239,0.010429844474584136
citeseer,counts,0.4,1.0,0.6400100150225339,0.008222930530596964
citeseer,counts,0.4,2.0,0.6486730095142715,0.010567839460298456
citeseer,counts,0.5,0.0,0.5859975961538462,0.01437974817424432
citeseer,counts,0.5,1.0,0.672235576923077,0.013704617181530366
citeseer,counts,0.5,2.0,0.6775841346153845,0.016623585415163726
citeseer,counts,0.6,0.0,0.6254695717505634,0.013644864159439196
citeseer,counts,0.6,1.0,0.6865514650638618,0.016271936110690867
citeseer,counts,0.6,2.0,0.6932381667918858,0.012979614030895838
citeseer,counts,0.7000000000000001,0.0,0.6568568568568568,0.01714282204620819
citeseer,counts,0.7000000000000001,1.0,0.7079079079079079,0.01833529768534553
citeseer,counts,0.7000000000000001,2.0,0.7080080080080081,0.016610116208786788
citeseer,counts,0.8,0.0,0.6803303303303303,0.026573230270281245
citeseer,counts,0.8,1.0,0.7187687687687687,0.024965394420402374
citeseer,counts,0.8,2.0,0.7127627627627626,0.02733163532540816
citeseer,counts,0.9,0.0,0.6903903903903904,0.02683914975514398
citeseer,counts,0.9,1.0,0.7165165165165165,0.031660761285960855
citeseer,counts,0.9,2.0,0.7153153153153152,0.038711699688724635
citeseer,id_counts,0.1,-1.0,0.5103505843071787,0.018744311147037528
citeseer,id_counts,0.2,-1.0,0.5873403456048084,0.01121008513251425
citeseer,id_counts,0.30000000000000004,-1.0,0.6206526406182911,0.00832638553296042
citeseer,id_counts,0.4,-1.0,0.6496244366549824,0.008686264086834804
citeseer,id_counts,0.5,-1.0,0.6707932692307692,0.012697223698310278
citeseer,id_counts,0.6,-1.0,0.6909090909090909,0.013067023069875242
citeseer,id_counts,0.7000000000000001,-1.0,0.7146146146146146,0.011329456510043445
citeseer,id_counts,0.8,-1.0,0.7184684684684685,0.008412280437418627
citeseer,id_counts,0.9,-1.0,0.726126126126126,0.015364631715196685
citeseer,id_proba,0.1,-1.0,0.5241068447412354,0.01316789832210717
citeseer,id_proba,0.2,-1.0,0.5972952667167543,0.013923556848403712
citeseer,id_proba,0.30000000000000004,-1.0,0.6313439244310862,0.01071837005371248
citeseer,id_proba,0.4,-1.0,0.6605908863294943,0.010845241343681455
citeseer,id_proba,0.5,-1.0,0.6842548076923078,0.017766972756309573
citeseer,id_proba,0.6,-1.0,0.6997746055597295,0.01380912153025331
citeseer,id_proba,0.7000000000000001,-1.0,0.7210210210210211,0.012030997490307557
citeseer,id_proba,0.8,-1.0,0.7339339339339339,0.019265043801751654
citeseer,id_proba,0.9,-1.0,0.7447447447447447,0.016629877603442794
citeseer,id_rwr,0.1,-1.0,0.5448414023372287,0.023361048785997963
citeseer,id_rwr,0.2,-1.0,0.6099173553719008,0.010712202296788707
citeseer,id_rwr,0.30000000000000004,-1.0,0.6407041648776299,0.014520878805577358
citeseer,id_rwr,0.4,-1.0,0.6679519278918378,0.012032970734794255
citeseer,id_rwr,0.5,-1.0,0.6871995192307692,0.014219229203301605
citeseer,id_rwr,0.6,-1.0,0.7003005259203606,0.010727706673512772
citeseer,id_rwr,0.7000000000000001,-1.0,0.7142142142142142,0.012873234383627174
citeseer,id_rwr,0.8,-1.0,0.7250750750750752,0.016741723038423133
citeseer,id_rwr,0.9,-1.0,0.7387387387387387,0.014297154011097392
citeseer,ids,0.1,0.0,0.4132220367278799,0.014738461119039956
citeseer,ids,0.1,1.0,0.477228714524207,0.013020323448097948
citeseer,ids,0.1,2.0,0.4955926544240401,0.013374175534203964
citeseer,ids,0.2,0.0,0.47997746055597296,0.008946028582540793
citeseer,ids,0.2,1.0,0.5265214124718257,0.0075448035017201985
citeseer,ids,0.2,2.0,0.536664162283997,0.005916388729265847
citeseer,ids,0.30000000000000004,0.0,0.5236582224130528,0.008503960102453969
citeseer,ids,0.30000000000000004,1.0,0.5628166595105195,0.008047532109711063
citeseer,ids,0.30000000000000004,2.0,0.5610133104336625,0.008281860736851382
citeseer,ids,0.4,0.0,0.5512268402603906,0.009544385950252724
citeseer,ids,0.4,1.0,0.5806209313970956,0.010043497049424175
citeseer,ids,0.4,2.0,0.5810716074111166,0.007268849111007569
citeseer,ids,0.5,0.0,0.5743389423076922,0.014853600554305443
citeseer,ids,0.5,1.0,0.5950721153846154,0.0160901146971737
citeseer,ids,0.5,2.0,0.5956129807692307,0.01379581644316255
citeseer,ids,0.6,0.0,0.5851990984222389,0.014084564417068996
citeseer,ids,0.6,1.0,0.6041322314049586,0.014097917249437136
citeseer,ids,0.6,2.0,0.602404207362885,0.017371825087535563
citeseer,ids,0.7000000000000001,0.0,0.5977977977977978,0.015549025419606129
citeseer,ids,0.7000000000000001,1.0,0.6102102102102103,0.01845875279721089
citeseer,ids,0.7000000000000001,2.0,0.6098098098098099,0.018280567146624967
citeseer,ids,0.8,0.0,0.6031531531531532,0.013780588497376251
citeseer,ids,0.8,1.0,0.6201201201201202,0.018966261583078264
citeseer,ids,0.8,2.0,0.6117117117117117,0.0132646796984854
citeseer,ids,0.9,0.0,0.6075075075075075,0.02652369335352755
citeseer,ids,0.9,1.0,0.6201201201201202,0.02378299173276293
citeseer,ids,0.9,2.0,0.6102102102102102,0.02376402518634758
